root@lamp-s-1vcpu-1gb-nyc1-01:~# tcpdump -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:25:56.613842 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 3964021783:3964021891, ack 643401746, win 313, length 108
20:25:56.705032 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 29416:29580, ack 1, win 313, length 164
20:25:56.705180 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 29580:29744, ack 1, win 313, length 164
20:25:56.705286 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 29744:29908, ack 1, win 313, length 164
20:25:56.705386 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 29908:30072, ack 1, win 313, length 164
20:25:56.705488 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 30072:30236, ack 1, win 313, length 164
20:25:56.705588 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 30236:30400, ack 1, win 313, length 164
20:25:56.705692 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 30400:30564, ack 1, win 313, length 164
20:25:56.705792 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 30564:30728, ack 1, win 313, length 164
20:25:56.705955 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 30728:30892, ack 1, win 313, length 164
20:25:56.706136 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 30892:31056, ack 1, win 313, length 164
20:25:56.706308 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 31056:31220, ack 1, win 313, length 164
20:25:56.706450 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 31220:31384, ack 1, win 313, length 164
20:25:56.706626 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 31384:31548, ack 1, win 313, length 164
20:25:56.706792 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 31548:31712, ack 1, win 313, length 164
20:25:56.706944 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 31712:31876, ack 1, win 313, length 164
20:25:56.707093 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 31876:32040, ack 1, win 313, length 164
20:25:56.707247 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 32040:32204, ack 1, win 313, length 164
20:25:56.707402 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 32204:32368, ack 1, win 313, length 164
20:25:56.707541 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 32368:32532, ack 1, win 313, length 164
20:25:56.707691 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 32532:32696, ack 1, win 313, length 164
20:25:56.707862 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 32696:32860, ack 1, win 313, length 164
20:25:56.708039 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 32860:33024, ack 1, win 313, length 164
20:25:56.708221 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 33024:33188, ack 1, win 313, length 164
20:25:56.708383 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 33188:33352, ack 1, win 313, length 164
20:25:56.708495 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 33352:33516, ack 1, win 313, length 164
20:25:56.708595 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 33516:33680, ack 1, win 313, length 164
20:25:56.708733 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 33680:33844, ack 1, win 313, length 164
20:25:56.708840 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 33844:34008, ack 1, win 313, length 164
20:25:56.708950 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 34008:34172, ack 1, win 313, length 164
20:25:56.709048 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 34172:34336, ack 1, win 313, length 164
20:25:56.709191 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 34336:34500, ack 1, win 313, length 164
20:25:56.709294 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 34500:34664, ack 1, win 313, length 164
20:25:56.709393 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 34664:34828, ack 1, win 313, length 164
20:25:56.709516 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 34828:34992, ack 1, win 313, length 164
20:25:56.709674 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 34992:35156, ack 1, win 313, length 164
20:25:56.709812 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 35156:35320, ack 1, win 313, length 164
20:25:56.709901 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 35320:35484, ack 1, win 313, length 164
20:25:56.709977 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 35484:35648, ack 1, win 313, length 164
20:25:56.710052 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 35648:35812, ack 1, win 313, length 164
20:25:56.710126 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 35812:35976, ack 1, win 313, length 164
20:25:56.710201 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 35976:36140, ack 1, win 313, length 164
20:25:56.710308 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 36140:36304, ack 1, win 313, length 164
20:25:56.710385 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 36304:36468, ack 1, win 313, length 164
20:25:56.710460 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 36468:36632, ack 1, win 313, length 164
20:25:56.710533 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 36632:36796, ack 1, win 313, length 164
20:25:56.710605 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 36796:36960, ack 1, win 313, length 164
20:25:56.710678 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 36960:37124, ack 1, win 313, length 164
20:25:56.710752 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 37124:37288, ack 1, win 313, length 164
20:25:56.710829 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 37288:37452, ack 1, win 313, length 164
20:25:56.710905 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 37452:37616, ack 1, win 313, length 164
20:25:56.710979 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 37616:37780, ack 1, win 313, length 164
20:25:56.711052 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 37780:37944, ack 1, win 313, length 164
20:25:56.711124 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 37944:38108, ack 1, win 313, length 164
20:25:56.711208 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 38108:38272, ack 1, win 313, length 164
20:25:56.711314 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 38272:38436, ack 1, win 313, length 164
20:25:56.711465 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 38436:38600, ack 1, win 313, length 164
20:25:56.711550 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 38600:38764, ack 1, win 313, length 164
20:25:56.711676 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 38764:38928, ack 1, win 313, length 164
20:25:56.711802 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 38928:39092, ack 1, win 313, length 164
20:25:56.711886 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 39092:39256, ack 1, win 313, length 164
20:25:56.711960 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 39256:39420, ack 1, win 313, length 164
20:25:56.712034 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 39420:39584, ack 1, win 313, length 164
20:25:56.712107 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 39584:39748, ack 1, win 313, length 164
20:25:56.712235 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 39748:39912, ack 1, win 313, length 164
20:25:56.712368 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 39912:40076, ack 1, win 313, length 164
20:25:56.712494 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 40076:40240, ack 1, win 313, length 164
20:25:56.712619 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 40240:40404, ack 1, win 313, length 164
20:25:56.712725 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 40404:40568, ack 1, win 313, length 164
20:25:56.712808 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 40568:40732, ack 1, win 313, length 164
20:25:56.712883 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 40732:40896, ack 1, win 313, length 164
20:25:56.712956 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 40896:41060, ack 1, win 313, length 164
20:25:56.713030 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 41060:41224, ack 1, win 313, length 164
20:25:56.713139 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 41224:41388, ack 1, win 313, length 164
20:25:56.713239 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 41388:41552, ack 1, win 313, length 164
20:25:56.713339 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 41552:41716, ack 1, win 313, length 164
20:25:56.713419 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 41716:41880, ack 1, win 313, length 164
20:25:56.713519 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 41880:42044, ack 1, win 313, length 164
20:25:56.713619 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 42044:42208, ack 1, win 313, length 164
20:25:56.713697 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 42208:42372, ack 1, win 313, length 164
20:25:56.713774 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 42372:42536, ack 1, win 313, length 164
20:25:56.713860 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 42536:42700, ack 1, win 313, length 164
20:25:56.713957 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 42700:42864, ack 1, win 313, length 164
20:25:56.714042 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 42864:43028, ack 1, win 313, length 164
20:25:56.714130 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 43028:43192, ack 1, win 313, length 164
20:25:56.714243 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 43192:43356, ack 1, win 313, length 164
20:25:56.714348 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 43356:43520, ack 1, win 313, length 164
20:25:56.714471 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 43520:43684, ack 1, win 313, length 164
20:25:56.714597 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 43684:43848, ack 1, win 313, length 164
20:25:56.714711 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 43848:44012, ack 1, win 313, length 164
20:25:56.714793 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 44012:44176, ack 1, win 313, length 164
20:25:56.714870 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 44176:44340, ack 1, win 313, length 164
20:25:56.714951 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 44340:44504, ack 1, win 313, length 164
20:25:56.715054 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 44504:44668, ack 1, win 313, length 164
20:25:56.715132 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 44668:44832, ack 1, win 313, length 164
20:25:56.715275 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 44832:44996, ack 1, win 313, length 164
20:25:56.715394 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 44996:45160, ack 1, win 313, length 164
20:25:56.715518 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 45160:45324, ack 1, win 313, length 164
20:25:56.715653 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 45324:45488, ack 1, win 313, length 164
20:25:56.715749 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 45488:45652, ack 1, win 313, length 164
20:25:56.715828 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 45652:45816, ack 1, win 313, length 164
20:25:56.715948 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 45816:45980, ack 1, win 313, length 164
20:25:56.716078 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 45980:46144, ack 1, win 313, length 164
20:25:56.716170 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 46144:46308, ack 1, win 313, length 164
20:25:56.716247 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 46308:46472, ack 1, win 313, length 164
20:25:56.716326 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 46472:46636, ack 1, win 313, length 164
20:25:56.716428 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 46636:46800, ack 1, win 313, length 164
20:25:56.716571 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 46800:46964, ack 1, win 313, length 164
20:25:56.716662 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 46964:47128, ack 1, win 313, length 164
20:25:56.716743 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 47128:47292, ack 1, win 313, length 164
20:25:56.716820 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 47292:47456, ack 1, win 313, length 164
20:25:56.716895 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 47456:47620, ack 1, win 313, length 164
20:25:56.716969 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 47620:47784, ack 1, win 313, length 164
20:25:56.717128 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 47784:47948, ack 1, win 313, length 164
20:25:56.717260 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 47948:48112, ack 1, win 313, length 164
20:25:56.717355 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 48112:48276, ack 1, win 313, length 164
20:25:56.717434 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 48276:48440, ack 1, win 313, length 164
20:25:56.717537 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 48440:48604, ack 1, win 313, length 164
20:25:56.717667 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 48604:48768, ack 1, win 313, length 164
20:25:56.717751 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 48768:48932, ack 1, win 313, length 164
20:25:56.717827 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 48932:49096, ack 1, win 313, length 164
20:25:56.717893 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 49096:49260, ack 1, win 313, length 164
20:25:56.718004 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 49260:49424, ack 1, win 313, length 164
20:25:56.718124 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 49424:49588, ack 1, win 313, length 164
20:25:56.718239 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 49588:49752, ack 1, win 313, length 164
20:25:56.718371 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 49752:49916, ack 1, win 313, length 164
20:25:56.718468 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 49916:50080, ack 1, win 313, length 164
20:25:56.718545 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 50080:50244, ack 1, win 313, length 164
20:25:56.718621 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 50244:50408, ack 1, win 313, length 164
20:25:56.718764 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 50408:50572, ack 1, win 313, length 164
20:25:56.718863 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 50572:50736, ack 1, win 313, length 164
20:25:56.718963 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 50736:50900, ack 1, win 313, length 164
20:25:56.719074 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 50900:51064, ack 1, win 313, length 164
20:25:56.719221 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 51064:51228, ack 1, win 313, length 164
20:25:56.719309 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 51228:51392, ack 1, win 313, length 164
20:25:56.719405 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 51392:51556, ack 1, win 313, length 164
20:25:56.719495 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 51556:51720, ack 1, win 313, length 164
20:25:56.719575 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 51720:51884, ack 1, win 313, length 164
20:25:56.719653 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 51884:52048, ack 1, win 313, length 164
20:25:56.719731 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 52048:52212, ack 1, win 313, length 164
20:25:56.719806 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 52212:52376, ack 1, win 313, length 164
20:25:56.719901 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 52376:52540, ack 1, win 313, length 164
20:25:56.723456 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 27940, win 2051, length 0
20:25:56.723516 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 52540:52704, ack 1, win 313, length 164
20:25:56.723683 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 52704:52980, ack 1, win 313, length 276
20:25:56.723766 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 52980:53144, ack 1, win 313, length 164
20:25:56.723865 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 53144:53308, ack 1, win 313, length 164
20:25:56.723944 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 53308:53472, ack 1, win 313, length 164
20:25:56.724018 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 53472:53636, ack 1, win 313, length 164
20:25:56.724094 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 53636:53800, ack 1, win 313, length 164
20:25:56.724230 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 53800:53964, ack 1, win 313, length 164
20:25:56.724363 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 53964:54128, ack 1, win 313, length 164
20:25:56.724452 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 54128:54292, ack 1, win 313, length 164
20:25:56.724551 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 54292:54456, ack 1, win 313, length 164
20:25:56.724641 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 54456:54620, ack 1, win 313, length 164
20:25:56.724717 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 54620:54784, ack 1, win 313, length 164
20:25:56.724796 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 54784:54948, ack 1, win 313, length 164
20:25:56.724874 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 54948:55112, ack 1, win 313, length 164
20:25:56.724954 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 55112:55276, ack 1, win 313, length 164
20:25:56.725032 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 55276:55440, ack 1, win 313, length 164
20:25:56.725165 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 55440:55604, ack 1, win 313, length 164
20:25:56.725279 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 55604:55768, ack 1, win 313, length 164
20:25:56.725360 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 55768:55932, ack 1, win 313, length 164
20:25:56.726824 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 32040, win 2051, length 0
20:25:56.726878 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 55932:56096, ack 1, win 313, length 164
20:25:56.727040 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 56096:56372, ack 1, win 313, length 276
20:25:56.727133 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 56372:56536, ack 1, win 313, length 164
20:25:56.727215 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 56536:56700, ack 1, win 313, length 164
20:25:56.727293 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 56700:56864, ack 1, win 313, length 164
20:25:56.727386 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 56864:57028, ack 1, win 313, length 164
20:25:56.727493 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 57028:57192, ack 1, win 313, length 164
20:25:56.727574 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 57192:57356, ack 1, win 313, length 164
20:25:56.727650 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 57356:57520, ack 1, win 313, length 164
20:25:56.727725 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 57520:57684, ack 1, win 313, length 164
20:25:56.727814 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 57684:57848, ack 1, win 313, length 164
20:25:56.727889 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 57848:58012, ack 1, win 313, length 164
