root@lamp-s-1vcpu-1gb-nyc1-01:~# tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:39:16.891217 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 3983993215:3983993323, ack 643419406, win 313, length 108
20:39:16.978351 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 29336:29500, ack 1, win 313, length 164
20:39:16.978522 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 29500:29664, ack 1, win 313, length 164
20:39:16.978692 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 29664:29828, ack 1, win 313, length 164
20:39:16.978855 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 29828:29992, ack 1, win 313, length 164
20:39:16.979022 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 29992:30156, ack 1, win 313, length 164
20:39:16.979168 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 30156:30320, ack 1, win 313, length 164
20:39:16.979300 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 30320:30484, ack 1, win 313, length 164
20:39:16.979431 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 30484:30648, ack 1, win 313, length 164
20:39:16.979536 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 30648:30812, ack 1, win 313, length 164
20:39:16.979652 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 30812:30976, ack 1, win 313, length 164
20:39:16.979750 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 30976:31140, ack 1, win 313, length 164
20:39:16.979842 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 31140:31304, ack 1, win 313, length 164
20:39:16.979934 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 31304:31468, ack 1, win 313, length 164
20:39:16.980024 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 31468:31632, ack 1, win 313, length 164
20:39:16.980117 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 31632:31796, ack 1, win 313, length 164
20:39:16.980208 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 31796:31960, ack 1, win 313, length 164
20:39:16.980297 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 31960:32124, ack 1, win 313, length 164
20:39:16.980427 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 32124:32288, ack 1, win 313, length 164
20:39:16.980569 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 32288:32452, ack 1, win 313, length 164
20:39:16.980672 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 32452:32616, ack 1, win 313, length 164
20:39:16.980805 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 32616:32780, ack 1, win 313, length 164
20:39:16.980961 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 32780:32944, ack 1, win 313, length 164
20:39:16.981092 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 32944:33108, ack 1, win 313, length 164
20:39:16.983730 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 21568, win 2051, length 0
20:39:16.983792 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 33108:33272, ack 1, win 313, length 164
20:39:16.983859 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 21732, win 2050, length 0
20:39:16.984082 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 33272:33660, ack 1, win 313, length 388
20:39:16.984234 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 33660:33824, ack 1, win 313, length 164
20:39:16.984334 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 33824:33988, ack 1, win 313, length 164
20:39:16.984445 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 33988:34152, ack 1, win 313, length 164
20:39:16.984477 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 25668, win 2051, length 0
20:39:16.984611 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 34152:34428, ack 1, win 313, length 276
20:39:16.984727 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 34428:34592, ack 1, win 313, length 164
20:39:16.984818 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 34592:34756, ack 1, win 313, length 164
20:39:16.984908 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 34756:34920, ack 1, win 313, length 164
20:39:16.984997 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 34920:35084, ack 1, win 313, length 164
20:39:16.985085 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 35084:35248, ack 1, win 313, length 164
20:39:16.985181 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 35248:35412, ack 1, win 313, length 164
20:39:16.985375 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 35412:35576, ack 1, win 313, length 164
20:39:16.985472 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 35576:35740, ack 1, win 313, length 164
20:39:16.985546 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 35740:35904, ack 1, win 313, length 164
20:39:16.985617 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 35904:36068, ack 1, win 313, length 164
20:39:16.985692 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 36068:36232, ack 1, win 313, length 164
20:39:16.985764 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 36232:36396, ack 1, win 313, length 164
20:39:16.985857 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 36396:36560, ack 1, win 313, length 164
20:39:16.985990 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 36560:36724, ack 1, win 313, length 164
20:39:16.986135 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 36724:36888, ack 1, win 313, length 164
20:39:16.986267 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 36888:37052, ack 1, win 313, length 164
20:39:16.986362 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 37052:37216, ack 1, win 313, length 164
20:39:16.986454 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 37216:37380, ack 1, win 313, length 164
20:39:16.986546 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 37380:37544, ack 1, win 313, length 164
20:39:16.986638 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 37544:37708, ack 1, win 313, length 164
20:39:16.986730 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 37708:37872, ack 1, win 313, length 164
20:39:16.986820 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 37872:38036, ack 1, win 313, length 164
20:39:16.986913 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 38036:38200, ack 1, win 313, length 164
20:39:16.987013 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 38200:38364, ack 1, win 313, length 164
20:39:16.987148 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 38364:38528, ack 1, win 313, length 164
20:39:16.987238 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 38528:38692, ack 1, win 313, length 164
20:39:16.987313 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 38692:38856, ack 1, win 313, length 164
20:39:16.987385 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 38856:39020, ack 1, win 313, length 164
20:39:16.987456 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 39020:39184, ack 1, win 313, length 164
20:39:16.987559 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 39184:39348, ack 1, win 313, length 164
20:39:16.987640 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 39348:39512, ack 1, win 313, length 164
20:39:16.987715 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 39512:39676, ack 1, win 313, length 164
20:39:16.987787 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 39676:39840, ack 1, win 313, length 164
20:39:16.987858 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 39840:40004, ack 1, win 313, length 164
20:39:16.987932 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 40004:40168, ack 1, win 313, length 164
20:39:16.988033 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 40168:40332, ack 1, win 313, length 164
20:39:16.988147 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 40332:40496, ack 1, win 313, length 164
20:39:16.988231 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 40496:40660, ack 1, win 313, length 164
20:39:16.988304 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 40660:40824, ack 1, win 313, length 164
20:39:16.988379 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 40824:40988, ack 1, win 313, length 164
20:39:16.988453 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 40988:41152, ack 1, win 313, length 164
20:39:16.988526 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 41152:41316, ack 1, win 313, length 164
20:39:16.988598 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 41316:41480, ack 1, win 313, length 164
20:39:16.988670 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 41480:41644, ack 1, win 313, length 164
20:39:16.988741 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 41644:41808, ack 1, win 313, length 164
20:39:16.988811 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 41808:41972, ack 1, win 313, length 164
20:39:16.988882 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 41972:42136, ack 1, win 313, length 164
20:39:16.988957 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 42136:42300, ack 1, win 313, length 164
20:39:16.989059 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 42300:42464, ack 1, win 313, length 164
20:39:16.989183 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 42464:42628, ack 1, win 313, length 164
20:39:16.989332 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 42628:42792, ack 1, win 313, length 164
20:39:16.989464 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 42792:42956, ack 1, win 313, length 164
20:39:16.989556 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 42956:43120, ack 1, win 313, length 164
20:39:16.989650 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 43120:43284, ack 1, win 313, length 164
20:39:16.989751 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 43284:43448, ack 1, win 313, length 164
20:39:16.989826 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 43448:43612, ack 1, win 313, length 164
20:39:16.989934 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 43612:43776, ack 1, win 313, length 164
20:39:16.990047 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 43776:43940, ack 1, win 313, length 164
20:39:16.990160 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 43940:44104, ack 1, win 313, length 164
20:39:16.990275 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 44104:44268, ack 1, win 313, length 164
20:39:16.990358 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 44268:44432, ack 1, win 313, length 164
20:39:16.990433 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 44432:44596, ack 1, win 313, length 164
20:39:16.990512 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 44596:44760, ack 1, win 313, length 164
20:39:16.990585 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 44760:44924, ack 1, win 313, length 164
20:39:16.990660 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 44924:45088, ack 1, win 313, length 164
20:39:16.990733 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 45088:45252, ack 1, win 313, length 164
20:39:16.990811 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 45252:45416, ack 1, win 313, length 164
20:39:16.990892 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 45416:45580, ack 1, win 313, length 164
20:39:16.991072 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 45580:45744, ack 1, win 313, length 164
20:39:16.991209 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 45744:45908, ack 1, win 313, length 164
20:39:17.000937 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 30812, win 2051, length 0
20:39:17.001052 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 45908:46072, ack 1, win 313, length 164
20:39:17.001083 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 33108, win 2051, length 0
20:39:17.001442 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 46072:46460, ack 1, win 313, length 388
20:39:17.001633 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 46460:46624, ack 1, win 313, length 164
20:39:17.001745 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 46624:46788, ack 1, win 313, length 164
20:39:17.001854 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 46788:46952, ack 1, win 313, length 164
20:39:17.001970 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 46952:47116, ack 1, win 313, length 164
20:39:17.002094 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 47116:47280, ack 1, win 313, length 164
20:39:17.002195 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 47280:47444, ack 1, win 313, length 164
20:39:17.002321 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 47444:47608, ack 1, win 313, length 164
20:39:17.002399 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 47608:47772, ack 1, win 313, length 164
20:39:17.002472 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 47772:47936, ack 1, win 313, length 164
20:39:17.002545 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 47936:48100, ack 1, win 313, length 164
20:39:17.002620 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 48100:48264, ack 1, win 313, length 164
20:39:17.002713 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 48264:48428, ack 1, win 313, length 164
20:39:17.002843 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 48428:48592, ack 1, win 313, length 164
20:39:17.002953 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 48592:48756, ack 1, win 313, length 164
20:39:17.003057 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 48756:48920, ack 1, win 313, length 164
20:39:17.003166 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 48920:49084, ack 1, win 313, length 164
20:39:17.003249 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 49084:49248, ack 1, win 313, length 164
20:39:17.003325 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 49248:49412, ack 1, win 313, length 164
20:39:17.003401 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 49412:49576, ack 1, win 313, length 164
20:39:17.003473 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 49576:49740, ack 1, win 313, length 164
20:39:17.003545 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 49740:49904, ack 1, win 313, length 164
20:39:17.003621 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 49904:50068, ack 1, win 313, length 164
20:39:17.003694 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 50068:50232, ack 1, win 313, length 164
20:39:17.003750 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 34152, win 2047, length 0
20:39:17.003836 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 50232:50508, ack 1, win 313, length 276
20:39:17.003916 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 50508:50672, ack 1, win 313, length 164
20:39:17.003988 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 50672:50836, ack 1, win 313, length 164
20:39:17.004063 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 50836:51000, ack 1, win 313, length 164
20:39:17.004136 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 51000:51164, ack 1, win 313, length 164
20:39:17.004207 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 51164:51328, ack 1, win 313, length 164
20:39:17.004279 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 51328:51492, ack 1, win 313, length 164
20:39:17.004350 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 51492:51656, ack 1, win 313, length 164
20:39:17.004428 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 51656:51820, ack 1, win 313, length 164
20:39:17.004501 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 51820:51984, ack 1, win 313, length 164
20:39:17.004573 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 51984:52148, ack 1, win 313, length 164
20:39:17.004645 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 52148:52312, ack 1, win 313, length 164
20:39:17.004718 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 52312:52476, ack 1, win 313, length 164
20:39:17.004795 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 52476:52640, ack 1, win 313, length 164
20:39:17.004868 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 52640:52804, ack 1, win 313, length 164
20:39:17.004944 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 52804:52968, ack 1, win 313, length 164
20:39:17.005050 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 52968:53132, ack 1, win 313, length 164
20:39:17.005131 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 53132:53296, ack 1, win 313, length 164
20:39:17.005220 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 53296:53460, ack 1, win 313, length 164
20:39:17.005298 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 53460:53624, ack 1, win 313, length 164
20:39:17.005444 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 53624:53788, ack 1, win 313, length 164
20:39:17.005577 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 53788:53952, ack 1, win 313, length 164
20:39:17.005652 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 35904, win 2051, length 0
20:39:17.005762 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 53952:54228, ack 1, win 313, length 276
20:39:17.005850 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 54228:54392, ack 1, win 313, length 164
20:39:17.005925 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 54392:54556, ack 1, win 313, length 164
20:39:17.006006 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 54556:54720, ack 1, win 313, length 164
20:39:17.006083 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 54720:54884, ack 1, win 313, length 164
20:39:17.006160 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 54884:55048, ack 1, win 313, length 164
20:39:17.006265 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 55048:55212, ack 1, win 313, length 164
20:39:17.006340 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 55212:55376, ack 1, win 313, length 164
20:39:17.006427 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 38200, win 2051, length 0
20:39:17.006503 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 55376:55540, ack 1, win 313, length 164
20:39:17.006608 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 55540:55816, ack 1, win 313, length 276
20:39:17.006689 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 55816:55980, ack 1, win 313, length 164
20:39:17.006764 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 55980:56144, ack 1, win 313, length 164
20:39:17.006842 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 56144:56308, ack 1, win 313, length 164
20:39:17.006937 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 56308:56472, ack 1, win 313, length 164
20:39:17.007030 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 56472:56636, ack 1, win 313, length 164
20:39:17.007111 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 56636:56800, ack 1, win 313, length 164
20:39:17.007188 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 56800:56964, ack 1, win 313, length 164
20:39:17.007261 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 56964:57128, ack 1, win 313, length 164
20:39:17.007382 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 57128:57292, ack 1, win 313, length 164
20:39:17.007513 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 57292:57456, ack 1, win 313, length 164
20:39:17.007617 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 57456:57620, ack 1, win 313, length 164
